submission_id,problem_id,user_id,date,language,original_language,filename_ext,status,cpu_time,memory,code_size,accuracy,status_in_folder,code,label,LLM
s856918773,p03353,u474270503,1528936974,Python,Python (3.4.3),py,Wrong Answer,2104.0,5596.0,954,,Wrong,"s = list(input())
K = int(input())
l = []
l2 = []
l3 = []
l4 = []

for i in range(len(s)):
    s[i] = str(ord(s[i])-ord(""a"")+11)

max_len = 0
for i in range(len(s)):
    tmp = ''
    for j in range(i, len(s)):
        tmp += s[j]
        if(len(tmp)<12):
            l.append(tmp)
            max_len = max(max_len, len(tmp))
        else: break


for i in range(len(l)):
    while True:
        if len(l[i]) == max_len: break
        l[i] += '0'

for i in l:
    is_multi = 0
    i = int(i)
    for j in l2:
        if i == j:
            is_multi = 1
            break
    if is_multi == 0:
        l2.append(i)

l2.sort()

l2 = list(str(l2[K-1]))

tmp = ''
for i in range(len(l2)):
    if l2[i] != '0':
        tmp += l2[i]

l3 = list(tmp)
if len(l3) % 2 == 1:
    l3.append('0')

i = 0
while i < len(l3):
    tmp = chr(int(l3[i] + l3[i+1]) - 11 + ord('a'))
    l4.append(tmp)
    i += 2

ans =''
for i in range(len(l4)):
    ans += l4[i]

print(ans)
",0,Human
s308807344,p02785,u449822557,1580069965,Python,PyPy3 (2.4.0),py,Accepted,292.0,87372.0,189,,Accepted,"n, k = list(map(int,input().split()))
h = list(map(int,input().split()))
if n <= k:
    print(0)
else:
    h.sort()
    sum = 0
    for i in range(0,n-k):
        sum += h[i]
    print(sum)",0,Human
s698021887,p03325,u858136677,1529201803,Python,Python (3.4.3),py,Wrong Answer,56.0,4148.0,244,,Wrong,"n = int(input())
a = list(map(int,input().split()))
counter = 0
check = [2,4,8,16,32,64,128,256,512,1024,2048,4096,8192]
for i in range(n):
	if a[i]%2 == 0:
		for k in range(len(check)):
			if a[i]%check[k] == 0:
				counter += 1
print(counter)",0,Human
s255692746,p03059,u167273718,1558546180,Python,Python (3.4.3),py,Wrong Answer,17.0,2940.0,111,,Wrong,"A,B,T = input().split()
A = int(A)
B = int(B)
T = int(T)

t = T + 0.5
k = t // A
bisket = k * B

print(bisket)
",0,Human
s756949530,p03067,u528124741,1555809195,Python,Python (3.4.3),py,Accepted,18.0,3316.0,134,,Accepted,"A,B,C = map(int,input().split("" ""))

if A < C and C < B:
    print(""Yes"")
elif B < C and C < A:
    print(""Yes"")
else:
    print(""No"")",0,Human
s724812587,p03015,u644972721,1595184392,Python,Python (3.8.2),py,Accepted,116.0,17524.0,361,,Accepted,"l = list(input())
n = len(l)
mod = pow(10, 9) + 7
m = pow(10, 5) + 5
p2 = [1] * m
p3 = [1] * m
for i in range(1, m):
    p2[i] = (p2[i - 1] * 2) % mod
    p3[i] = (p3[i - 1] * 3) % mod
cnt = 0
ans = 0
for i in range(n):
    if l[i] == ""1"":
        ans += ((p3[n - i - 1] * p2[cnt]) % mod)
        ans %= mod
        cnt += 1
ans += p2[cnt]
ans %= mod
print(ans)",0,Human
s733941320,p03073,u960171798,1555188423,Python,Python (3.4.3),py,Runtime Error,85.0,3188.0,128,,Runtime,"N = int(input())
H = list(map(int, input().split()))
ans = 1
for i in range(1,N):
  if H[i]>=max(H[:i]):
    ans += 1
print(ans)",0,Human
s193018863,p02708,u246661425,1588619006,Python,Python (3.8.2),py,Runtime Error,22.0,9108.0,281,,Runtime,"import itertools
N, K = map(int, input().split())
n = np.array([])
n_list = [10**100 + i for i in range(N + 1)]
lists = []
for i in range(K, N + 2):
  for j in itertools.combinations(n_list, i):
    if sum(j) not in lists:
      lists.append(sum(j))
print(len(lists) % (10**9 + 7))",0,Human
s291049392,p02990,u844123804,1561860165,Python,Python (3.4.3),py,Wrong Answer,20.0,3060.0,301,,Wrong,"seq = input().split()

sequence = [int(i) for i in seq]
aka = sequence[0]-sequence[1]

# ３つ連続してる並べ方
a = aka+1
# ２つ連続してる並べ方
b = (aka+1)*aka
# １つ連続してる並べ方
c = (aka+1)*(aka)*(aka-1)//6

print(a%1000000007)
print(b%1000000007)
print(c%1000000007)",0,Human
s747600085,p03416,u638709900,1559855996,Python,Python (3.4.3),py,Runtime Error,18.0,3060.0,209,,Runtime,"A = int(input())
B = int(input())

count = 0
for i in range (A,B,1):
    I = str(i)
    if int(I[-1]) == int(I[-5]) and int(I[-2]) == int(I[-4]):
        count = count + 1
    else :
        pass

print(count)",0,Human
s759478480,p02963,u353919145,1564469367,Python,Python (3.4.3),py,Runtime Error,17.0,3060.0,188,,Runtime,"
import math
s = int(input())
p=q=0
c=1
a = int (math.sqrt(s))
if (a*a == s):
    d = a

else:
    a+=1
    d = a
    #print(a*d, s)
    b = a*d - s
    #print(a*d - b)

print(p,q,a,b,c,d)",0,Human
s199762938,p03773,u322185540,1557014661,Python,Python (3.4.3),py,Wrong Answer,19.0,3060.0,83,,Wrong,"a,b = map(int,input().split())
if a+b <= 24:
    print(a+b)
else:
    print(a+b-24)",0,Human
s831622298,p03555,u663710122,1521079908,Python,Python (3.4.3),py,Runtime Error,17.0,2940.0,40,,Runtime,print('YES' if input() == input()[::-1]),0,Human
s390708906,p02586,u874644572,1597966723,Python,PyPy3 (7.3.0),py,Runtime Error,93.0,68604.0,1370,,Runtime,"#!/usr/bin/env python3

import numpy as np


def next_line():
    return input()


def next_int():
    return int(input())


def next_int_array_one_line():
    return list(map(int, input().split()))


def next_int_array_multi_lines(size):
    return [int(input()) for _ in range(size)]


def next_str_array(size):
    return [input() for _ in range(size)]


def main():
    r, c, k = map(int, input().split())
    dp = [[[0] * (c+1) for i in range(r+1)] for i in range(4)]
    v = [[0] * (c+1) for i in range(r+1)]
    for i in range(k):
        row, col, val = map(int, input().split())
        v[row][col] = val

    for row in range(1, r + 1):
        for col in range(1, c + 1):
            for num in range(0, 4):
                if num == 0:
                    dp[num][row][col] = dp[3][row-1][col]  # simple down
                else:
                    dp[num][row][col] = max(dp[num-1][row][col],  # str
                                            dp[num][row][col-1],  # right x
                                            dp[3][row-1][col] + \
                                            v[row][col],  # down o
                                            dp[num-1][row][col-1] + \
                                            v[row][col],  # right o
                                            )
    print(dp[3][r][c])


if __name__ == '__main__':
    main()",0,Human
s111359047,p02769,u034128150,1589649055,Python,PyPy3 (2.4.0),py,Runtime Error,197.0,39280.0,427,,Runtime,"import sys
from functools import lru_cache

sys.setrecursionlimit(10 ** 7)

MOD = 10 ** 9 + 7

@lru_cache
def combination(n, k):
    if k == 0:
        return 1
    else:
        return ((combination(n, k-1) * (n-k+1) % MOD) * pow(k, MOD-2, MOD)) % MOD

n, k = map(int, input().split())

s = 0
for m in range(0, min(k+1, n)):
    s += combination(n, min(m, n - m)) * combination(n - 1, min(m, n - m - 1))
    s %= MOD

print(s)",0,Human
s946985614,p02694,u382169668,1588473013,Python,Python (3.8.2),py,Runtime Error,22.0,9020.0,130,,Runtime,"num = int(input())
year = 0
cash = 100
while(True){
	cash += int(cash/100)
  	year++
	if(num < cash):
  		print(year)
  		break
	}",0,Human
s407136986,p03062,u980492406,1556419969,Python,Python (3.4.3),py,Runtime Error,54.0,14284.0,290,,Runtime,"n = int(input())
num = list(map(int,input().split()))
numabs = [abs(i) for i in num]
cnt = 0    
negative = []        
for i in num :
    if i < 0 :
        cnt += 1
        negtive.append()

if cnt % 2 == 0 :
    print(sum(numabs))

if cnt % 2 == 1 :
    print(sum(numabs)-2*max(negative))",0,Human
s323014847,p02900,u306718299,1570910678,Python,Python (3.4.3),py,Runtime Error,2108.0,14436.0,815,,Runtime,"# -*- coding: utf-8 -*-
import numpy as np

def mk_prime_list(num):
    num_list = np.array(range(2, num + 1))
    prime_list = np.array([])

    i = num_list[0]
    while i <= np.sqrt(num):
        prime_list = np.append(prime_list, i)
        num_list = num_list[~(num_list % i == 0)]
        i = num_list[0]

    return prime_list


a, b = map(int, input().split())

if a > b:
    max_num = a
else:
    max_num = b

num_list = np.array(range(2, max_num + 1))
#prime_list = np.array([])

ans = 1
i = num_list[0]
while i <= np.sqrt(max_num):
    if a % i == 0 and b % i == 0:
        ans += 1
    num_list = num_list[~(num_list % i == 0)]
    i = num_list[0]

#prime_list = mk_prime_list(max_num)
#print(prime_list)

#ans = 1

#for i in prime_list:
#    if a % i == 0 and b % i == 0:
#        ans += 1

print(ans)
",0,Human
s868337193,p02607,u961288441,1594516245,Python,Python (3.8.2),py,Runtime Error,27.0,9164.0,169,,Runtime,"N = int(input())
a = list(map(int, input().split()))
ans = 0

for i in range(0,N+1,2):
    if a[i] ==1:
        ans += 1
    elif a[i]%2 ==1:
        ans += 1
print(ans)",0,Human
s928134776,p03139,u326609687,1548641995,Python,Python (3.4.3),py,Accepted,17.0,2940.0,97,,Accepted,"n, a, b = [int(_) for _ in input().split()]
m = a + b - n
if m < 0:
    m = 0
print(min(a, b), m)",0,Human
s893236469,p03060,u345483150,1574149396,Python,Python (3.4.3),py,Runtime Error,17.0,2940.0,188,,Runtime,"v = list(map(int, input().split()))
c = list(map(int, input().split()))
n = int(input())
s = 0
for i in range(n):
  if v[i] - c[i] > 0:
    s += v[i] - c[i]
  else:
    continue
print(s)

",0,Human
s185710035,p02901,u252828980,1569767737,Python,Python (3.4.3),py,Wrong Answer,1743.0,3828.0,693,,Wrong,"n,m = map(int,input().split())
a = []
for i in range(m):
    
    li = list(map(int, input().split()))
    li2 = list(map(int, input().split()))    
    a.append([li,li2])
b = []
from collections import defaultdict
d = defaultdict(int)
#print(a)
for j in range(1,n+1):
    min1 = 10**5
    for i in range(len(a)):
        if   (j in a[i][1]):
            b.append(j)
            #print(b)
            #print(b.count(j)==1)
            if (j in b) and (b.count(j) == 1):
                #print((j in b) and (b.count(j) == 1))
                min1 = min(min1,int(a[i][0][0]))
                d[j] = min1
                #print(min1)
sum = 0
#print(d)
for v in d.values():
    sum += v
print(sum)",0,Human
s032926474,p02684,u991619971,1589177107,Python,Python (3.8.2),py,Accepted,140.0,32376.0,380,,Accepted,"#N=int(input())
N,K = map(int,input().split())
#N=int(input())
A = list(map(int,input().split()))
#S=str(input())

now=1
flag=[-1]*(N)

for i in range(K):
    if flag[now-1]==-1:
        flag[now-1]=i
        now = A[now-1]
    else:
        loop = i - flag[now-1]
        zan=(K-(i-loop))%loop
        ans = flag.index(i-loop+zan)+1
        print(ans)
        exit()

print(now)
",0,Human
s089806665,p02959,u927534107,1564278848,Python,Python (3.4.3),py,Runtime Error,65.0,18624.0,218,,Runtime,"n=int(input())
l=list(map(int,input().split()))
la=list(map(int,input().split()))

flag=0
for m,i in enumerate(la):
  ans+=min(i,l[m])+l[m+1]-max(0,l[m+1]-i+min(i,l[m]))
  l[m+1]=max(0,l[m+1]-i+min(i,l[m]))
print(ans)
",0,Human
s419261119,p03606,u898967808,1585794223,Python,Python (3.4.3),py,Wrong Answer,20.0,2940.0,107,,Wrong,"n = int(input())
ans = 0
for i in range(n):
  a,b = map(int,input().split())
  ans += b-a-1
  
print(ans)  ",0,Human
s285964112,p02646,u441246928,1592097067,Python,Python (3.8.2),py,Wrong Answer,19.0,9164.0,153,,Wrong,"A,V = map(int,input().split())
B,W = map(int,input().split())
T = int(input())
if abs(A + V*T) >= abs(B + W*T) :
    print('Yes')
else :
    print('No')
",0,Human
s095817808,p03626,u844789719,1543308577,Python,Python (3.4.3),py,Accepted,17.0,3064.0,568,,Accepted,"N = int(input())
S1 = input()
S2 = input()
dp_v = 0
dp_h = 0
mod = 1000000007
is_first = True
while S1:
    if len(S1) > 1 and S1[0] == S1[1]:
        S1 = S1[2:]
        if is_first:
            dp_h = 6
            dp_v = 0
            is_first = False
        else:
            dp_h = dp_v*2+dp_h*3
            dp_v = 0
    else:
        S1 = S1[1:]
        if is_first:
            dp_v = 3
            dp_h = 0
            is_first = False
        else:
            dp_v = dp_v*2+dp_h
            dp_h = 0
    dp_v %= mod
    dp_h %= mod
print((dp_h+dp_v) % mod)
",0,Human
s348812695,p02684,u525796732,1589164293,Python,Python (3.8.2),py,Wrong Answer,137.0,31044.0,651,,Wrong,"import sys
stdin=sys.stdin

ns = lambda:stdin.readline().rstrip()
ni = lambda:int(stdin.readline().rstrip())
nm = lambda:map(int,stdin.readline().split())
nl = lambda:list(map(int,stdin.readline().split()))

N,K=nm()
A=nl()

city_l=[]
city_l.append(1)
city_c=[0]*(N+1)
city_c[1]+=1
n_city=A[0]
flag=True
r_start=-1
r_end=-1
while(flag):
    city_c[n_city]+=1
    city_l.append(n_city)
    if(city_c[n_city]>1):
        r_start=city_l.index(n_city)+1
        r_end=len(city_l)-1
        flag=False
    n_city=A[n_city-1]

if(K<=r_end):
    print(A[city_l[K-1]])

else:
    K2=K-r_end
    K2=K2%(r_end-r_start+1)
    print(A[city_l[r_start+K2-2]-1])
 

",0,Human
s958766651,p02913,u093041722,1588461991,Python,PyPy3 (2.4.0),py,Runtime Error,194.0,39408.0,1431,,Runtime,"def rolling_hash(s):
    l = len(s)
    h = [0]*(l + 1)
    v = 0
    for i in range(l):
        h[i+1] = v = (v * base + ord(s[i])) % mod
    return h
def setup_pw(l):
    pw = [1]*(l + 1)
    v = 1
    for i in range(l):
        pw[i+1] = v = v * base % mod
    return pw
def get(h, b, l, r):
    return (h[r] - h[l] * b[r-l]) % mod

def check_bisect(l,h1,b1,h2,b2):
    for j in range(N-2*l+1):
        a1 = get(h1,b1,j,l+j)
        a2 = get(h2,b2,j,l+j)
        for k in range(N-2*l-j+1):
            if a1 == get(h1,b1,j+l+k,2*l+j+k) and a2 == get(h2,b2,j+l+k,2*l+j+k):
                return True
    return False

N = int(input())
S = input()
mod = 1000000007
base = 37
h1 = rolling_hash(S)
b2 = setup_pw(N)
base = 401
h2 = rolling_hash(S)
b2 = setup_pw(N)
left = 1
right = N // 2
finish = False
if N <= 26:
    s = set(list(S))
    if N <= 3:
        if len(s) < N:
            print('1')
        else:
            print('0')
        finish = True
    else:
        if len(s) == N:
            print('0')
            finish = True
while finish == False:
    if left == right:
        print(left)
        finish = True
    elif right - left == 1:
        if check_bisect(right,h1,b1,h2,b2):
            print(right)
        else:
            print(left)
        finish = True
    else:
        mid = (left+right) // 2
        if check_bisect(mid,h1,b1,h2,b2):
            left = mid
        else:
            right = mid - 1",0,Human
s626381532,p03380,u744920373,1586922891,Python,Python (3.4.3),py,Wrong Answer,79.0,14136.0,775,,Wrong,"import sys
sys.setrecursionlimit(10**8)
def ii(): return int(sys.stdin.readline())
def mi(): return map(int, sys.stdin.readline().split())
def li(): return list(map(int, sys.stdin.readline().split()))
def li2(N): return [list(map(int, sys.stdin.readline().split())) for _ in range(N)]
def dp2(ini, i, j): return [[ini]*i for _ in range(j)]
def dp3(ini, i, j, k): return [[[ini]*i for _ in range(j)] for _ in range(k)]
import bisect #bisect.bisect_left(B, a)
#from collections import defaultdict #d = defaultdict(int) d[key] += value
#from itertools import accumulate #list(accumulate(A))

N = ii()
A = sorted(li())
half = A[-1]//2

ind = bisect.bisect_left(A, half)

if A[ind]!=half:
    if ind > 0 and half - A[ind-1] <= A[ind] - half:
        ind -= 1

print(A[-1], A[ind])",0,Human
s284052813,p02694,u931655383,1593024230,Python,Python (3.8.2),py,Wrong Answer,26.0,9048.0,62,,Wrong,"n = int(input())
s = 100
while n >= s:
  s*=1.01
print(int(s))",0,Human
s664321303,p02951,u415905784,1564966896,Python,Python (3.4.3),py,Accepted,17.0,2940.0,60,,Accepted,"A, B, C = map(int, input().split())
print(C - min(A - B, C))",0,Human
s484393960,p03230,u883048396,1540750289,Python,Python (3.4.3),py,Accepted,67.0,7668.0,785,,Accepted,"def 解():
    iN = int(input())

    #解法pdfを見て作ったその2

    iK = int((2 * iN) ** 0.5)
    if 2 * iN != iK * (iK +1 ) :
        print(""No"")
    else:
        print(""Yes"")
        print(iK+1)
        oAns = []
        iStart = 1
        for i in range(iK):
            oRes = [iK]
            oRes.extend(list(range(iStart,iStart+i+1)))
            iLast = oRes[-1]
            for k in range(i+1,iK):
                iLast += k
                oRes.append(iLast)
            oAns.append("" "".join([str(_) for _ in oRes]))
            iStart += i +1
        oRes = [iK]
        iStart = 0
        for i in range(0,iK):
            iStart += i +1
            oRes.append(iStart)
        oAns.append("" "".join([str(_) for _ in oRes]))
        print(""\n"".join(oAns))
解()
",0,Human
s970644688,p02612,u275666666,1593997402,Python,Python (3.8.2),py,Accepted,25.0,9148.0,67,,Accepted,"N=int(input())

a=N%1000
result= 1000-a if a>0 else 0
print(result)",0,Human
s419334299,p03379,u828847847,1531344952,Python,Python (2.7.6),py,Accepted,246.0,19956.0,180,,Accepted,"n = int(input())

arr = map(int,raw_input().split())

arrb = arr[:]
arrb.sort()
a = n/2-1
b = n/2

for i in range(n):
	if arr[i] >= arrb[b]:
		print arrb[a]
	else :
		print arrb[b]",0,Human
s476538714,p03067,u309423948,1555814077,Python,Python (3.4.3),py,Runtime Error,17.0,2940.0,35,,Runtime,"A, B, C  =  map(int, input().sprt))",0,Human
s617841222,p03088,u911449886,1600639504,Python,PyPy3 (7.3.0),py,Runtime Error,100.0,74944.0,1464,,Runtime,"from copy import deepcopy

def getval():
    n = int(input())
    return n

def main(n):
    mod = 10**9 + 7
    #A:0 C:1 G:2 T:3
    dp = [[[1 for i in range(4)] for i in range(4)] for i in range(4)]
    dp[0][2][1] = 0
    dp[0][1][2] = 0
    dp[2][0][1] = 0

    def pow4(arr):
        ans = 0
        for i in range(4):
            ans += arr[i]*(4**(3-i))
        return ans 

    p = []
    for i in range(4):
        p.append(pow4([0,2,1,i]))
        p.append(pow4([0,1,2,i]))
        p.append(pow4([2,0,1,i]))
        p.append(pow4([i,0,2,1]))
        p.append(pow4([i,0,1,2]))
        p.append(pow4([i,2,0,1]))
        p.append(pow4([0,i,2,1]))
        p.append(pow4([0,2,i,1]))

    it1 = iter(p)
    it2 = iter(p)
    co = 0
    di = dict(zip(it1,it2))
    for i in range(n-3):
        temp = [[[0 for i in range(4)] for i in range(4)] for i in range(4)]
        for a in range(4):
            for b in range(4):
                for c in range(4):
                    for d in range(4):
                        if pow4([a,b,c,d]) in di:
                            temp[b][c][d] += 0
                        else:
                            temp[b][c][d] += dp[a][b][c]
                            temp[b][c][d] %= mod
        dp = temp

    ans = 0
    for i in range(4):
        for j in range(4):
            for k in range(4):
                ans += temp[i][j][k]
    ans %= mod
    print(ans)

if __name__==""__main__"":
    n = getval()
    main(n)",0,Human
s529041229,p02846,u747184036,1575315070,Python,Python (3.4.3),py,Wrong Answer,17.0,3064.0,510,,Wrong,"import sys
sys.setrecursionlimit(10 ** 9)

input = sys.stdin.readline


def main():
    t1, t2 = map(int, input().split())
    a1, a2 = map(int, input().split())
    b1, b2 = map(int, input().split())
    if (a1 - b1) * (a2 - b2) > 0:
        print(0)
        return

    P = t1 * abs(b1 - a1)
    Q = t2 * abs(b2 - a2)
    if P == Q:
        print(""infinity"")
        return
    T = P % (Q - P)
    S = P // (Q - P)
    if T == 0:
        ans = 2 * S
    else:
        ans = 2 * S + 1
    print(ans)


main()
",0,Human
s318598038,p02883,u621935300,1572754718,Python,PyPy2 (5.6.0),py,Wrong Answer,427.0,146140.0,521,,Wrong,"# -*- coding: utf-8 -*-
import sys

N,K=map(int, sys.stdin.readline().split())
A=map(int, sys.stdin.readline().split())
F=map(int, sys.stdin.readline().split())
A.sort(reverse=True)
F.sort()

max_ans=A[0]*F[-1]

def check(temp_ans):
    if temp_ans<0:
        return False
    k=0
    for a,f in zip(A,F):
        aa=temp_ans/f
        k+=(a-aa)
        if K<k:
            return False
    else:
        return True

h=max_ans
l=-1

while h-l!=1:
    m=(h+l)/2
    if check(m):
        h=m
    else:
        l=m

print h",0,Human
